"V1","V5","V6","V12","V13","V14"
"m.33348.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.15965.p1","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","-"
"m.13328.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.51.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11507.p1","PF01285","TEA/ATTS domain","IPR000818","TEA/ATTS domain","GO:0003700|GO:0006355"
"m.23415.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.41069.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.12675.p1","SSF47454","A DNA-binding domain in eukaryotic transcription factors","IPR008917","Transcription factor, Skn-1-like, DNA-binding domain superfamily","GO:0003677|GO:0006355"
"m.8010.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.7166.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.10049.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.496.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.41534.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.41602.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10766.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.40676.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.27651.p1","PF03343","SART-1 family","IPR005011","SNU66/SART1 family","GO:0000398"
"m.1917.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.3765.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.42923.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.20463.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.12169.p1","PF03850","Transcription factor Tfb4","IPR004600","TFIIH subunit Tfb4/GTF2H3","GO:0000439|GO:0006289|GO:0006355"
"m.32020.p1","SSF47413","lambda repressor-like DNA-binding domains","IPR010982","Lambda repressor-like, DNA-binding domain superfamily","GO:0003677"
"m.36981.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.5549.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.3251.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.8045.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.3445.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.42376.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5919.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.9159.p1","PF05764","YL1 nuclear protein","IPR008895","Vps72/YL1 family","GO:0005634|GO:0006338|GO:0006355|GO:0043486"
"m.40305.p5","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4134.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.11216.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.40499.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5858.p1","SSF50784","Transcription factor IIA (TFIIA), beta-barrel domain","IPR009088","Transcription factor IIA, beta-barrel","GO:0005672|GO:0006367"
"m.6156.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.2549.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.1811.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.8580.p1","SSF55455","SRF-like","IPR036879","Transcription factor, MADS-box superfamily","GO:0003677|GO:0046983"
"m.32214.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.39184.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.18946.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.32294.p1","PF02257","RFX DNA-binding domain","IPR003150","DNA-binding RFX-type winged-helix domain","GO:0003677|GO:0006355"
"m.22562.p1","PF06839","GRF zinc finger","IPR010666","Zinc finger, GRF-type","GO:0008270"
"m.28814.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.35149.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.40803.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.32557.p1","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","-"
"m.43559.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.12514.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.125.p1","SSF50784","Transcription factor IIA (TFIIA), beta-barrel domain","IPR009088","Transcription factor IIA, beta-barrel","GO:0005672|GO:0006367"
"m.30798.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2029.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11753.p1","PF02186","TFIIE beta subunit core domain","IPR003166","Transcription factor TFIIE beta subunit, DNA-binding domain","GO:0006367"
"m.5959.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.5876.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.33326.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.1955.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.3459.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.5417.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.43560.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.27584.p1","PF03849","Transcription factor Tfb2","IPR004598","Transcription factor TFIIH subunit p52/Tfb2","GO:0000439|GO:0001671|GO:0006289"
"m.18665.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.28543.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4150.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.32644.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.11420.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.21576.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.7261.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.13286.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.29451.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.9943.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.17120.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.29250.p1","PF01530","Zinc finger, C2HC type","IPR002515","Zinc finger, C2H2C-type","GO:0005634|GO:0006355|GO:0008270"
"m.4542.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.26515.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.10507.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.19480.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.9604.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.1768.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.37108.p1","PF02257","RFX DNA-binding domain","IPR003150","DNA-binding RFX-type winged-helix domain","GO:0003677|GO:0006355"
"m.43027.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.32528.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.3388.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.15103.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.43520.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2711.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.24831.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.24223.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.9248.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.36756.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.30713.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.20914.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.24117.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.6211.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.691.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
"m.478.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.21728.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.34470.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.3461.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.41148.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.257.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.8957.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13205.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.38495.p1","PF00292","'Paired box' domain","IPR001523","Paired domain","GO:0003677|GO:0006355"
"m.390.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2591.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.39592.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.35691.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.8623.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.42685.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.38093.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5709.p1","PF00157","Pou domain - N-terminal to homeobox domain","IPR000327","POU-specific domain","GO:0003700|GO:0006355"
"m.12228.p1","PF00907","T-box","IPR001699","Transcription factor, T-box","GO:0003700|GO:0006355"
"m.10685.p1","PF06818","Fez1","-","-",""
"m.1718.p1","PF00382","Transcription factor TFIIB repeat","IPR013150","Transcription factor TFIIB, cyclin-like domain","GO:0017025"
"m.10100.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.14156.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2798.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.12621.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.18851.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.30612.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.10315.p3","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.33830.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.8288.p1","PF03615","GCM motif protein","IPR003902","Transcription regulator GCM domain","GO:0003677|GO:0006355"
"m.7698.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4120.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.13453.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.20426.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.21292.p1","PF01096","Transcription factor S-II (TFIIS)","IPR001222","Zinc finger, TFIIS-type","GO:0003676|GO:0006351|GO:0008270"
"m.16101.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.14718.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.12103.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.22015.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.15362.p1","PF02257","RFX DNA-binding domain","IPR003150","DNA-binding RFX-type winged-helix domain","GO:0003677|GO:0006355"
"m.42226.p1","PF01316","Arginine repressor, DNA binding domain","IPR020900","Arginine repressor, DNA-binding domain","GO:0003700|GO:0006355|GO:0006525"
"m.28285.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.10814.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.2863.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.3753.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.42948.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.15099.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.7840.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.498.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
